id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1365609,AMAZING LOCATION 1BD CHARMING APT IN DOWNTOWN,7336501,Maha,,West End,49.27932,-123.12911,Entire home/apt,250,4,127,2022-05-18,1.18,1,86,21,22-155895
1375143,100 Year Old Character Home off Main,1334665,Gaëlle And James,,Riley Park,49.24871,-123.09646,Entire home/apt,230,30,2,2019-10-16,0.04,1,128,0,
1378220,QUIET COZY SUNNY BR (ENSUITE) + ADJ STUDY IN HOUSE,7465731,Brian,,West Point Grey,49.26026,-123.20135,Entire home/apt,98,2,83,2022-05-26,1.15,2,7,13,22156500
1398788,Stunning 1 Bedroom Laneway,7554741,Ruth,,Arbutus Ridge,49.23968,-123.16762,Entire home/apt,104,31,91,2022-04-21,0.85,1,254,5,
1399744,Luxury 2 BDR With Wrap Around Deck,7560143,Sandy,,Mount Pleasant,49.26964,-123.11064,Entire home/apt,450,30,12,2022-05-31,0.12,1,190,4,
1417881,Renovated Character Home - 3 Bdrm,7499193,Tracey,,Grandview-Woodland,49.26732,-123.06827,Entire home/apt,399,6,43,2022-05-05,0.40,3,263,1,22-157256
1418910,Private Room - Commercial Drive,7499193,Tracey,,Grandview-Woodland,49.26583,-123.06897,Private room,99,4,142,2019-09-04,1.33,3,0,0,22-157256
1466647,One Bedroom & Secured Underground Parking,7856227,Christian,,Downtown Eastside,49.28164,-123.11006,Entire home/apt,199,30,14,2020-08-31,0.15,1,60,0,18-646182
1502887,244 -2 BEDROOM. WATER VIEW! 6 MONTH EXTENDED STAY,600607,Bruce Ward,,Downtown,49.29014,-123.12716,Entire home/apt,129,180,5,2018-12-01,0.05,34,0,0,
1507975,Modern new room with private entry!,51695,Natasha & Paolo,,Riley Park,49.24882,-123.09121,Private room,81,3,284,2022-06-06,2.65,1,248,27,22-156286
1525113,"114 Studio ""West of Denman""",600607,Bruce Ward,,West End,49.29101,-123.14085,Entire home/apt,76,30,11,2021-11-09,0.11,34,0,3,
1565861,Deluxe Kitsilano Beach Waterfront 2 Bedroom House,8328973,Adam,,Kitsilano,49.27383,-123.15362,Entire home/apt,450,6,73,2020-08-07,0.70,1,61,0,18-581003
1610084,Lakeside Cottage with Stunning View,8556789,Lana,,Kensington-Cedar Cottage,49.25936,-123.06131,Entire home/apt,167,2,140,2022-05-22,1.31,1,17,4,22-157071
1623556,Private top floor on vibrant Main St,8633501,Robin,,Riley Park,49.25259,-123.09292,Entire home/apt,91,1,278,2022-05-22,2.61,1,187,36,22-156281
1629480,Garden Suite-Quiet/Private&Central,8660533,Tracy And Richard,,Riley Park,49.25225,-123.10756,Entire home/apt,75,30,134,2022-04-20,1.37,1,250,2,
1657214,"Amazing 2000sqft Downtown loft, 3 patios + Parking",8784861,Dianna,,Downtown Eastside,49.28167,-123.10984,Entire home/apt,250,90,5,2021-05-08,0.05,1,325,0,
1703616,Beautiful Kitsilano Apartment..,8993938,James And Jewel,,Kitsilano,49.26548,-123.14579,Entire home/apt,145,30,1,2022-05-06,0.91,1,336,1,
1717967,2 Bedroom Garden Flat - Main Street,9057463,Mary,,Riley Park,49.24778,-123.09867,Entire home/apt,178,2,297,2022-06-01,2.86,1,156,37,22-156184
1733307,DT Ocean view with luxury amenities and parking,9131888,Cindy,,Downtown,49.27781,-123.10637,Entire home/apt,288,1,39,2022-06-05,4.27,1,271,39,22-157713
1768817,SoMa Suite - Main Street Cool,9041076,Lynn,,Riley Park,49.24489,-123.10302,Entire home/apt,126,30,68,2022-05-28,0.67,1,138,2,20-154624
1820919,Film Industry loves this house! 5 min to VGH,7281178,Jodi,,Mount Pleasant,49.2585,-123.11479,Entire home/apt,371,3,47,2022-06-05,0.49,1,4,12,18-632419
1830733,Cozy Retreat - Strathcona,9575419,Elana & Claudio,,Downtown Eastside,49.27866,-123.08627,Entire home/apt,125,2,246,2021-10-24,2.36,4,198,3,22-156433
1850984,Main Street loft w/ rooftop patio and view!,1007186,Bryn,,Strathcona,49.26772,-123.0975,Entire home/apt,300,3,24,2022-04-18,0.23,1,3,5,20-197406
1869071,156 One Bedroom in Downtown at The Electra,600607,Bruce Ward,,Downtown,49.28216,-123.12438,Entire home/apt,87,30,4,2022-01-05,0.05,34,20,1,
1898584,Tinseltown Apartment,9862171,John,,Downtown,49.27915,-123.10642,Entire home/apt,68,90,34,2022-05-04,0.33,1,189,3,
1932171,Commercial Drive Garden Suite,5026894,Lois,,Grandview-Woodland,49.26861,-123.06666,Entire home/apt,97,31,11,2018-08-28,0.15,1,0,0,
1936740,Luxury affordable monthly stay in 1 BR,5510458,Alison,,Shaughnessy,49.25646,-123.14563,Entire home/apt,84,30,1,2017-06-11,0.02,2,249,0,
1950844,Stylish and Modern 2Bed West End Suite!,1469405,Phil,,West End,49.28954,-123.13711,Entire home/apt,178,2,101,2022-05-24,2.62,1,4,51,20-142112
1970354,Family friendly & centrally located,10174262,Tiffany & Michael,,Kerrisdale,49.22651,-123.14179,Entire home/apt,129,2,115,2022-05-24,1.15,1,5,8,22-156236
1995592,"Charming ""Kitsilano Family Place""",10285482,Allan And Ellen,,Kitsilano,49.263252,-123.164825,Private room,110,2,291,2022-05-27,2.81,1,179,33,22-155953
2003897,GREAT SUITE w GARDEN PATIO!  CENTRALLY LOCATED!!,10317553,Rita,,Fairview,49.26263,-123.11627,Entire home/apt,130,120,3,2014-02-03,0.03,1,157,0,
2008047,Amazing View from a Modern Loft,7745079,Chad,,Strathcona,49.28519,-123.09872,Entire home/apt,160,30,53,2018-08-19,0.55,1,283,0,18-579472
2011559,Sunny family-friendly house in Kits,9372276,Rica,,Kitsilano,49.26057,-123.15881,Entire home/apt,575,5,33,2022-01-01,0.46,1,29,6,22-157347
2017305,Experience Vancouver on the Drive!,10374538,David,,Grandview-Woodland,49.26411,-123.06803,Entire home/apt,189,30,49,2018-09-10,0.49,2,0,0,
2033952,Beautiful Kitsilano - Covid-19 Safe,557301,Tyler,,Kitsilano,49.26715,-123.15325,Entire home/apt,99,2,6,2020-09-09,0.20,1,0,0,20162988
2041582,"Kitsilano Point, very clean, welcoming and bright",1728615,Francois,,Kitsilano,49.2753,-123.14721,Entire home/apt,175,60,243,2022-05-10,2.48,1,159,3,20-160763
2042431,Yaletown 1BD Condo @ Homer & Robson,9582918,Sandy,,Downtown,49.28005,-123.11659,Entire home/apt,139,30,133,2022-01-29,1.31,1,282,5,
2046259,2 bdrm in COMPLETLY RENOVATED HOME BY CANADA LINE,5233549,Joyce,,Riley Park,49.23573,-123.10819,Entire home/apt,219,1,7,2018-07-24,0.10,4,0,0,20-185023
2056676,Cozy Modern apartment in Yaletown,7338933,Sadiq,,Downtown,49.27393,-123.11599,Entire home/apt,110,30,91,2022-01-31,0.89,3,257,1,"#18-609683 for unit 2610 , #18-609676 for unit 1503"
2084273,Gorgeous New House Double Ensuite,7940236,Renee,,Renfrew-Collingwood,49.24976,-123.03547,Private room,75,31,43,2021-10-02,0.43,5,213,2,
2092610,A spacious modern apartment,1172047,Trevor,,Mount Pleasant,49.2655,-123.0969,Entire home/apt,150,30,39,2022-06-02,0.39,2,285,6,
